Disease_Code,Name,Symptoms,Treatments,Chronic,Contagious
D021,Neuropathic Pain," tingling or numbness, Shooting or burning pain"," acupuncture,  anticonvulsants,  cognitive-behavioral therapy,  nerve blocks,  occupational therapy,  physical therapy,  relaxation techniques,  spinal cord stimulation,  topical treatments),  transcutaneous electrical nerve stimulation (TENS), Medications (such as antidepressants",True,False
D022,Common Cold," runny nose,  sneezing,  sore throat, cough"," fluids,  over-the-counter medication, rest",True,True
D023,Food Allergy," difficulty breathing,  gastrointestinal symptoms,  itching,  swelling, Rash"," antihistamines,  epinephrine (in severe cases), Avoidance of allergenic food",False,False
D024,Pulmonary Fibrosis," dry cough,  fatigue, Shortness of breath"," antifibrotic drugs),  lung transplantation,  oxygen therapy, Medications (immunosuppressants",True,True
D025,Hyperosmotic Hyperketotic State," confusion,  excessive thirst,  fatigue,  frequent urination,  fruity breath odor,  increased ketone production, Increased blood sugar levels"," correction of underlying causes (e.g.,  diabetes management),  electrolyte replacement,  intravenous fluids to correct dehydration, Insulin therapy to regulate blood sugar levels",True,True
D026,Overflow Incontinence," inability to completely empty the bladder,  weak urine stream, Frequent or constant dribbling of urine"," anticholinergics),  catheterization,  double voiding,  lifestyle modifications,  medications (alpha-blockers,  surgery (in severe cases), Bladder training exercises",True,False
D027,Abdominal Injury," blood in urine or stool,  bruising,  changes in bowel movements,  difficulty breathing,  nausea,  swelling,  tenderness,  vomiting, Abdominal pain"," CT scan,  X-ray,  observation for signs of internal bleeding,  pain management,  potential surgical intervention,  stabilization of vital signs,  ultrasound,  wound care, Immediate medical attention",False,False
D028,Hirsutism,Excessive hair growth in women," hair removal methods,  lifestyle changes,  oral contraceptives), Medications (anti-androgens",True,False
D029,Neuralgia," shooting pain along the affected nerve, Sharp"," anticonvulsants),  nerve blocks, Medications (pain relievers",True,False
D030,Warthin tumor," Facial changes, Painless lump or swelling",Surgical excision,False,False
D031,Presbycusis," difficulty hearing high-pitched sounds,  speech sounds muffled or unclear, Gradual hearing loss"," assistive listening devices,  cochlear implants (in severe cases),  communication strategies,  counseling,  regular hearing evaluations, Hearing aids",False,False
D032,Opioid Use Disorder," anxiety) when attempting to stop or reduce use,  continued use despite negative consequences (such as legal issues,  health problems),  inability to control or reduce opioid use,  muscle aches,  strong desire or cravings for opioids,  tolerance to opioids,  withdrawal symptoms (such as nausea, Compulsive use of opioids"," addressing underlying psychological or social factors,  buprenorphine,  contingency management),  counseling or therapy (such as cognitive-behavioral therapy,  harm reduction strategies,  lifestyle changes,  naltrexone),  ongoing monitoring and support,  support groups (such as Narcotics Anonymous), Medication-assisted treatment (such as methadone",True,False
D033,Panic disorder," Dizziness,  Fear of losing control,  Shortness of breath,  Sweating,  Trembling, Palpitations"," Cognitive Behavioral Therapy,  Relaxation Techniques, Antidepressant medications",True,False
D034,Esophageal Cancer," chest pain,  hoarseness,  unintentional weight loss, Difficulty swallowing"," chemotherapy,  clinical trials,  immunotherapy,  palliative care,  radiation therapy,  targeted therapy, Surgery",True,False
D035,Alcohol Intoxication," confusion,  impaired coordination, Slurred speech"," ensuring hydration,  monitoring vital signs,  prevention of complications, Supportive care",True,False
D036,Pilonidal Cyst," abscess formation,  drainage of pus or blood,  redness,  swelling, Pain or discomfort in the tailbone area"," antibiotics (for infection),  incision and drainage,  lifestyle modifications to prevent recurrence,  pain management,  surgical removal or excision,  wound care, Warm compresses",True,False
D037,Gestational Diabetes,High blood sugar levels during pregnancy," close monitoring by healthcare provider,  healthy diet modifications,  insulin injections (if needed),  regular exercise, Blood sugar monitoring",True,False
D038,Drug Withdrawal," drug cravings,  insomnia,  irritability,  nausea,  restlessness,  sweating,  tremors,  vomiting, Anxiety"," behavioral therapy,  clonidine,  counseling,  medications to manage withdrawal symptoms (such as benzodiazepines,  or buprenorphine),  rehabilitation programs,  support groups, Gradual tapering of the drug under medical supervision",True,False
D039,Fetal Alcohol Syndrome," developmental delays,  facial abnormalities,  intellectual disability, Growth deficiencies"," behavioral interventions,  educational support,  medical management of associated health issues,  speech and occupational therapy, Early intervention services for developmental delays",True,False
D040,Polycythemia Vera," dizziness,  enlarged spleen,  fatigue,  headache,  itching, Increased red blood cell count"," interferon),  low-dose aspirin,  managing complications (blood thinners,  medication (hydroxyurea,  medication for itching), Phlebotomy (removal of blood)",True,True
D041,Osteoarthritis," stiffness,  swelling, Joint pain"," assistive devices,  physical therapy,  surgery (in severe cases),  weight management, Pain relievers",True,False
D042,Fracture of the Neck," difficulty moving or turning the head,  numbness or weakness in the arms or legs,  swelling,  tenderness, Severe neck pain"," brace),  pain management,  potential surgical intervention (in severe cases), Immobilization (cervical collar",False,False
D043,Myoclonus," brief muscle contractions or jerks,  legs,  often affecting the arms,  or face, Sudden"," medication adjustments,  medications (anti-seizure drugs,  metabolic imbalances),  physical therapy,  supportive care,  tranquilizers), Identifying and treating underlying causes (e.g.",True,False
D044,Foreign Body in the Gastrointestinal Tract," bowel obstruction,  chest pain or pressure,  choking or gagging,  coughing or wheezing,  difficulty swallowing,  drooling,  gastrointestinal bleeding,  loss of appetite,  nausea or vomiting,  perforation of the digestive tract,  respiratory distress, Abdominal pain or discomfort"," and antibiotics if infection is present),  and non-sharp objects that are likely to pass through the digestive tract without complications),  consultation with a gastroenterologist or surgeon for appropriate management,  endoscopic removal (using a flexible tube with a camera to locate and remove the foreign body),  imaging studies (such as X-rays or CT scans) to evaluate the location and extent of the foreign body,  large or sharp objects,  or failed endoscopic removal attempts),  pain management,  smooth,  supportive care (such as intravenous fluids,  surgical intervention (in cases of severe complications, Observation and monitoring (for small",True,True
D045,Coronary Atherosclerosis," dizziness,  fatigue,  heart attack (when a coronary artery becomes completely blocked),  irregular heartbeat,  jaw or arm pain (in some cases),  nausea,  shortness of breath,  sweating, Chest pain or discomfort (angina)"," beta-blockers,  calcium channel blockers,  cardiac rehabilitation,  cholesterol-lowering medications,  coronary artery bypass grafting),  diabetes),  management of other risk factors (such as high blood pressure,  medication (such as aspirin,  nitroglycerin),  procedures (such as angioplasty and stenting,  regular exercise,  smoking cessation),  weight management, Lifestyle changes (such as a heart-healthy diet",True,True
D046,Hypertensive Heart Disease," chest pain or discomfort,  fatigue,  shortness of breath, High blood pressure"," exercise,  lifestyle changes (healthy diet,  stress management),  treatment of underlying conditions, Medications (antihypertensives)",True,True
D047,Mumps," fatigue,  fever,  headache, Swollen salivary glands (usually parotid)"," isolation,  pain relievers,  vaccination (MMR), Supportive care",False,True
D048,Cholesteatoma," dizziness or vertigo,  ear drainage,  hearing loss,  tinnitus, Ear pain"," antibiotics (for associated infections), Surgical removal",False,False
D049,Polycystic Kidney Disease," high blood pressure,  kidney cysts, Abdominal pain"," blood pressure control,  dialysis, Symptom management",False,False
D050,Juvenile Rheumatoid Arthritis," fever,  limited range of motion,  rash,  stiffness,  swelling, Joint pain"," DMARDs),  assistive devices,  exercise,  occupational therapy,  physical therapy, Medications (NSAIDs",True,True
D051,Hypospadias," difficulty in urination,  penile curvature,  spraying of urine, Abnormal positioning of the urethral opening on the underside of the penis"," counseling and support for the child and family,  hormone therapy (in some cases), Surgical repair (hypospadias repair surgery)",True,False
D052,Parotid stones," bad taste,  dry mouth,  pain, Swelling"," Stone removal, Hydration, Saliva stimulation",False,False
D053,Achalasia,Difficulty swallowing," medication,  surgery, Balloon dilation",True,False
D054,Rumination Disorder,Repeated regurgitation and re-chewing of food," addressing any underlying psychological or medical conditions,  biofeedback,  dietary modifications, Behavioral therapy (such as diaphragmatic breathing techniques)",True,False
D055,Bronchitis," chest congestion,  fatigue, Persistent cough with yellow or green mucus"," fluids,  inhalers (if prescribed),  over-the-counter cough suppressants,  treating underlying cause, Rest",False,True
D056,Balanitis," pain,  redness,  swelling, Inflammation of the glans penis (tip of the penis)"," corticosteroid creams (if severe),  topical antifungal or antibacterial creams,  treating underlying causes, Good hygiene",False,False
D057,Ectopic Pregnancy," abdominal pain or cramping,  shoulder pain (if the fallopian tube ruptures), Vaginal bleeding"," close monitoring,  emotional support,  potential medical procedures (such as medication or surgery to remove the ectopic pregnancy), Immediate medical attention",True,False
D058,Atelectasis," chest pain,  rapid breathing, Difficulty breathing"," bronchodilator medications,  chest physiotherapy,  coughing techniques,  deep breathing exercises,  incentive spirometry,  supplemental oxygen therapy,  treatment of lung infection), Treatment of the underlying cause (such as removal of airway obstruction",True,False
D059,Anorexia Nervosa," distorted body image,  fear of gaining weight, Extreme weight loss"," hospitalization (for severe cases),  medications (in some cases),  nutritional counseling,  psychotherapy (such as cognitive-behavioral therapy or family-based therapy),  support groups, Medical monitoring",True,False
D060,Hypergammaglobulinemia," may be asymptomatic or associated with other underlying conditions, Elevated levels of gamma globulins in the blood"," immunosuppressive therapy (in some cases), Treatment of underlying cause or associated condition",True,False
D061,Pregnancy-Induced Hypertension,High blood pressure during pregnancy," close monitoring by healthcare provider,  lifestyle modifications (such as salt restriction,  medication (such as antihypertensive drugs) if necessary,  regular exercise), Monitoring blood pressure",True,False
D062,Chorioretinitis," blurred vision,  sensitivity to light, Eye pain"," corticosteroids,  eye drops, Antiviral medications",True,False
D063,Open-Angle Glaucoma," tunnel vision, Gradual loss of peripheral vision"," alpha agonists,  beta blockers,  carbonic anhydrase inhibitors),  glaucoma drainage implants),  laser trabeculoplasty,  oral medications (e.g.,  prostaglandin analogs,  surgical procedures (e.g.,  trabeculectomy, Eye drops to lower intraocular pressure (e.g.",True,False
D064,Cranial Nerve Palsy," difficulty swallowing or speaking,  eye movement abnormalities,  facial weakness or paralysis,  loss of sensation in the face or other areas, Depends on the specific cranial nerve involved; symptoms can include vision changes"," and management of any underlying conditions.,  eye exercises,  occupational therapy,  physical therapy,  speech therapy,  surgery (in some cases), Treatment depends on the underlying cause and specific cranial nerve affected. It may include medications (such as corticosteroids or antiviral drugs)",True,False
D065,Corneal Abrasion," foreign body sensation,  redness,  sensitivity to light, Eye pain"," antibiotic ointments (if infected),  avoiding further eye irritation,  lubricating eye drops, Eye patching",False,False
D066,Hiatal Hernia," chest pain,  difficulty swallowing, Heartburn"," medications (antacids,  proton pump inhibitors), Lifestyle changes",True,False
D067,Type 2 Diabetes," Increased hunger,  Slow healing of wounds,  fatigue,  frequent urination, Fatigue, increased thirst"," Blood sugar monitoring,  Exercise,  Insulin therapy (in some cases),  lifestyle change,  medication, Oral medications, insulin",True,True
D068,Uterine Fibroids," backache,  constipation,  difficulty emptying the bladder,  enlarged abdomen or uterus,  frequent urination,  infertility or recurrent miscarriages (in some cases),  leg pain,  pelvic pain or pressure, Heavy or prolonged menstrual periods"," GnRH agonists,  alternative approaches (such as acupuncture or herbal remedies),  focused ultrasound ablation,  hormonal therapy,  hysterectomy),  hysteroscopic procedures (such as hysteroscopic myomectomy or endometrial ablation),  medication (such as hormonal birth control,  minimally invasive procedures (such as uterine artery embolization,  myomectomy),  progestin-releasing intrauterine devices),  surgical removal of fibroids (such as laparoscopic or robotic-assisted myomectomy, Watchful waiting (for small or asymptomatic fibroids)",True,False
D069,Angle-Closure Glaucoma," blurred vision,  halos around lights,  headache,  nausea and vomiting, Severe eye pain"," alpha agonists,  glaucoma drainage implants),  laser peripheral iridotomy,  oral or intravenous acetazolamide,  prostaglandin analogs),  surgical procedures (e.g.,  topical beta blockers,  trabeculectomy, Medications (e.g.",True,False
D070,Chronic Headache," tension in neck and shoulders, Persistent head pain"," relaxation techniques,  stress management, Pain-relieving medications",True,False
D071,Acute Kidney Injury," fatigue,  fluid retention, Decreased urine output"," dialysis (in severe cases),  medications to manage complications,  supportive care, Treating underlying cause",True,True
D072,Scarlet Fever," fever,  rash (red,  sandpaper-like),  swollen glands, Sore throat"," fluids,  rest,  symptomatic relief, Antibiotics (such as penicillin or erythromycin)",False,True
D073,Thoracic Aortic Aneurysm," difficulty swallowing,  hoarseness,  shortness of breath, Chest or back pain"," ACE inhibitors) to manage blood pressure and reduce the risk of rupture,  avoiding smoking,  beta-blockers,  blood pressure control,  lifestyle modifications (e.g.,  managing cholesterol levels),  medication (e.g.,  surgical intervention, Regular monitoring and imaging tests to assess aneurysm size and growth",True,False
D074,Scleroderma," Raynaud's phenomenon, Thickening of the skin"," symptom management,  therapy, Medications (immunosuppressants)",True,False
D075,Bone Spur of the Calcaneus," especially when walking or standing,  inflammation of the surrounding tissue,  swelling,  tenderness, Heel pain"," corticosteroid injections,  orthotic devices,  physical therapy,  shoe modifications,  stretching exercises,  surgical removal (in severe cases), Nonsteroidal anti-inflammatory drugs (NSAIDs)",True,False
D076,Ethylene glycol poisoning-2," apid breathing,  confusion,  dizziness,  headache,  rapid heart rate,  seizures, Metabolic acidosis"," Antidote Administration,  Gastric Decontamination,  Hemodialysis,  Supportive Measures, Blood tests",False,False
D077,Pica,Persistent consumption of non-food substances," addressing any medical complications,  addressing underlying nutritional deficiencies,  family support, Behavioral therapy",True,False
D078,Induced Abortion," abdominal pain,  cramping,  emotional distress,  fatigue,  nausea, Vaginal bleeding"," which can be done in the early stages of pregnancy. Surgical Abortion: A healthcare professional performs a procedure to remove the pregnancy,  which can involve suction aspiration or dilation and curettage (D&C). It's important to consult with a healthcare professional to discuss the options and determine the most suitable method., Medical Abortion: Medication (such as mifepristone and misoprostol) is used to induce abortion",True,True
D079,Tension Headache," tightness or pressure sensation on both sides of head, Mild to moderate head pain"," relaxation techniques,  stress management, Over-the-counter pain relievers",False,False
D080,Tuberculosis," fever,  night sweats,  weight loss, cough"," long-term medication, antibiotics",True,True
D081,Urethral Valves," abdominal distension,  poor weight gain,  urinary frequency or urgency,  urinary tract infections, Difficulty or poor urinary stream"," catheterization,  medications for symptoms and complications, Surgical intervention (valve ablation or resection)",True,False
D082,Hashimoto Thyroiditis," constipation,  depression,  dry skin,  muscle aches and stiffness,  sensitivity to cold,  weight gain, Fatigue"," monitoring and management of symptoms, Thyroid hormone replacement (levothyroxine)",True,True
D083,Parkinson Disease," slowness of movement,  stiffness, Tremors"," deep brain stimulation,  dopamine agonists),  physical therapy, Medications (levodopa",True,False
D084,Cryptorchidism," abnormal positioning of the testicle(s) (higher in the groin area),  empty scrotum,  inguinal hernia,  smaller or underdeveloped testicle(s), Absence or undescended testicle(s)"," hormone therapy (to stimulate testicular descent),  if necessary,  open or laparoscopic surgery (in cases of high or persistent cryptorchidism),  performed around the age of 6 to 12 months,  regular follow-up visits with a urologist or pediatric surgeon,  surgical intervention (orchiopexy) to reposition the testicle(s) into the scrotum,  testicular prostheses (in cases of absent or non-functional testicles), Observation and monitoring (in cases of mild or transient cryptorchidism)",True,False
D085,Mucocele," usually on the lower lip or floor of the mouth, Painless fluid-filled swelling in the oral cavity, Painless swelling"," Surgical removal if necessary,  surgical removal if necessary, Observation",False,False
D086,Empyema," chest pain,  productive cough with foul-smelling or bloody sputum, Fever"," drainage (chest tube insertion,  supportive care,  surgical intervention (decortication),  thoracentesis),  treatment of underlying cause, Antibiotics",False,True
D087,Abdominal Hernia," discomfort or pain, Visible bulge or swelling"," hernia truss,  lifestyle changes,  surgical repair, Watchful waiting",True,False
D088,Hemarthrosis," limited range of motion,  pain,  warmth, Joint swelling"," Compression,  Elevation),  Ice,  joint aspiration or drainage (in severe cases),  pain management, RICE method (Rest",False,False
D089,Pregnancy-Related Back Pain," discomfort in the pelvic area, Lower back pain"," good posture,  heat or cold therapy,  physical therapy,  prenatal massages,  supportive devices (such as pregnancy belts), Prenatal exercises (such as stretching and strengthening exercises)",True,False
D090,Muscle Spasm," involuntary muscle contractions,  limited range of motion,  muscle pain,  stiffness, Sudden"," heat or cold therapy,  lifestyle modifications,  muscle relaxants,  over-the-counter pain relievers,  physical therapy, Stretching and relaxation exercises",True,False
D091,Diverticulosis," bloating,  changes in bowel movements, Abdominal pain"," antibiotics),  medications (pain relievers, High-fiber diet",True,False
D092,Dry Skin," flaky skin with itching, Dry"," avoiding hot showers or baths,  using mild soaps, Moisturizing creams or lotions",False,False
D093,Alcohol Use Disorder," anxiety,  continued use despite negative consequences (such as relationship problems,  health issues),  inability to control or limit alcohol consumption,  neglecting responsibilities,  sweating) when attempting to stop or reduce alcohol use,  tolerance to alcohol,  withdrawal symptoms (such as tremors, Cravings for alcohol"," acamprosate),  addressing underlying psychological or social factors,  counseling or therapy (such as cognitive-behavioral therapy,  lifestyle changes,  medication (such as disulfiram,  motivational interviewing),  naltrexone,  ongoing monitoring and support,  support groups (such as Alcoholics Anonymous), Detoxification (if necessary)",True,False
D094,Muscular Dystrophy," difficulty walking or moving,  muscle wasting, Progressive muscle weakness and degeneration"," assistive devices,  gene therapies (in some cases),  medications for symptom management,  physical therapy, Supportive care",True,False
D095,Vaginal Yeast Infection," burning sensation during urination,  clumpy vaginal discharge (resembling cottage cheese),  pain during sexual intercourse,  rash or soreness in the affected area,  redness and swelling of the vulva,  thick,  white, Itching and irritation in the vagina and vulva"," avoiding irritants (such as scented products),  avoiding tight-fitting clothing,  clotrimazole,  maintaining good hygiene practices,  ointments,  or suppositories (such as miconazole,  or terconazole),  oral antifungal medications (if recommended by a healthcare professional),  prescription-strength antifungal medications (in severe or recurrent cases),  probiotics (to restore healthy vaginal flora),  topical corticosteroids (for relief of itching and inflammation),  wearing breathable cotton underwear, Over-the-counter antifungal creams",True,False
D096,Osteoporosis," back pain,  fractures,  loss of height over time, Fragile bones"," medications to slow bone loss,  regular exercise, Calcium and vitamin D supplements",True,False
D097,Syndrome of Inappropriate Secretion of ADH (SIADH)," low blood sodium levels, Excessively concentrated urine"," addressing electrolyte imbalance,  fluid restriction,  medications to suppress ADH (vasopressin) secretion, Treating underlying cause",True,False
D098,Myasthenia Gravis," difficulty speaking,  fatigue, Muscle weakness"," immunosuppressants),  thymectomy (in some cases), Medications (acetylcholinesterase inhibitors",True,True
D099,Torticollis," and abnormal head positioning,  stiffness, Neck pain"," botulinum toxin injections (in severe cases),  pain relievers, Physical therapy exercises",True,False
D100,Complex Regional Pain Syndrome (CRPS)," changes in skin color or temperature,  changes in skin temperature,  stiffness,  swelling, Intense burning pain, Severe and persistent pain"," anticonvulsants),  corticosteroids,  graded motor imagery,  medications,  mirror therapy,  nerve blocks,  occupational therapy,  physical therapy,  psychotherapy,  spinal cord stimulation,  stress management techniques,  sympathetic nerve blocks, Medications (such as pain relievers, Physical therapy",True,False
D101,Gastroenteritis (Stomach Flu)," abdominal pain or cramps,  diarrhea,  fever,  vomiting, Nausea"," avoiding irritating foods,  bland diet,  fluids (electrolyte solutions),  over-the-counter medications for symptom relief, Rest",True,True
D102,Scleritis," blurred vision,  severe eye pain, Eye redness"," immunosuppressants,  nonsteroidal anti-inflammatory drugs (NSAIDs), Steroid eye drops",False,False
D103,Cirrhosis," abdominal swelling (ascites),  confusion,  easy bruising and bleeding,  jaundice,  loss of appetite,  weight loss, Fatigue"," and address underlying causes. It may include: lifestyle modifications (e.g.,  antiviral drugs),  avoiding alcohol,  diuretics,  lactulose,  liver transplantation (in severe cases),  maintaining a healthy diet),  medication (e.g.,  paracentesis,  procedures (e.g.,  slow down disease progression,  transjugular intrahepatic portosystemic shunt), Treatment aims to manage symptoms",True,True
D104,Lung Contusion," chest wall bruising,  coughing up blood or pink-tinged sputum,  cyanosis (bluish discoloration of the skin),  decreased oxygen levels,  difficulty breathing or shortness of breath,  rapid or shallow breathing,  rib fractures (associated injuries),  wheezing, Chest pain (sharp or dull)"," and respiratory support),  management of complications (such as pneumonia or respiratory failure),  monitoring in a hospital setting (to assess lung function and overall stability),  pain management,  possible use of mechanical ventilation in severe cases,  prevention of further complications (such as deep vein thrombosis or pressure ulcers),  respiratory therapy (including breathing exercises and airway clearance techniques),  treatment of associated injuries (such as rib fractures), Supportive care (including supplemental oxygen",True,True
D105,Corneal Disorder," corneal abrasions or ulcers,  distorted or irregular corneal shape,  dryness or excessive tearing,  excessive tearing,  eye pain or discomfort,  foreign body sensation,  redness or irritation of the eye,  sensitivity to light (photophobia),  vision loss, Blurred or hazy vision"," antibiotic or antifungal eye drops (if infection is present),  avoiding irritants or triggers,  bandage contact lenses,  corneal transplantation (in severe cases),  corticosteroid eye drops or ointments (to reduce inflammation),  lifestyle modifications (such as proper eye hygiene and avoiding eye strain),  protective eyewear or sunglasses,  refractive surgeries (such as LASIK or PRK) to correct vision,  regular eye examinations and monitoring,  therapeutic contact lenses, Treatment depends on the specific corneal disorder and may include: artificial tears or lubricating eye drops",True,False
D106,Mucoepidermoid carcinoma," Difficulty,  Facial paralysis ,  Facial weakness,  pain when swallowing and speaking,  swelling, Lump"," Radiation therapy, Surgery",True,False
D107,Carpal Tunnel Syndrome," and pain in the hand and fingers,  numbness, Tingling"," applying cold or hot compresses,  avoiding repetitive hand movements,  ergonomic adjustments,  gentle exercises, Wrist splints",False,False
D108,Macular Degeneration," blind spots, Blurred or distorted central vision"," laser therapy,  medications (injections into the eye),  photodynamic therapy,  surgical intervention, Vision aids",True,False
D109,Atrophic vaginitis," Painful intercourse,  Vaginal burning,  frequent urination,  urinary tract infections, Vaginal dryness"," Lifestyle modifications,  Vaginal estrogen therapy, Vaginal moisturizers",True,False
D110,Osteochondrosis," reduced range of motion,  stiffness,  swelling, Joint pain"," pain medications,  rest,  surgery, Physical therapy",True,False
D111,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)," numbness,  tingling in limbs, Weakness"," corticosteroids,  physical therapy, Immunoglobulin therapy",True,False
D112,Parasitic Infections," visible lice or nits in the affected area, Intense itching"," washing clothes and bedding in hot water, Prescription medications (topical or oral antiparasitic agents)",True,False
D113,Normal Pressure Hydrocephalus," cognitive decline or dementia-like symptoms,  urinary incontinence, Gait disturbances"," medication management for symptoms, Ventriculoperitoneal shunt placement",True,False
D114,Kidney Stone," blood in the urine,  frequent urination, Severe pain in the side or back"," increased fluid intake,  medication to facilitate stone passage,  minimally invasive procedures or surgery, Pain management",True,False
D115,Pituitary Disorder," including hormonal imbalances, Various symptoms depending on the specific disorder"," hormone replacement therapy,  surgery, Treatment depends on the specific pituitary disorder and may involve medications",True,False
D116,Pinguecula," usually near the cornea, Yellowish or white growth on the conjunctiva (eye's surface)"," lubricating eye drops,  sunglasses for UV protection,  surgical removal (in severe cases), Artificial tears",False,False
D117,Influenza (Flu)," body aches,  congestion,  cough,  fatigue,  sore throat, High fever"," antiviral medications (in some cases),  fluids,  over-the-counter medications for symptom relief, Rest",True,True
D118,Cat Scratch Disease," fatigue,  fever,  headache,  rash, Swollen lymph nodes"," doxycycline),  pain management,  supportive care, Antibiotics (azithromycin",False,True
D119,Hyperemesis Gravidarum,Severe nausea and vomiting during pregnancy," anti-nausea medications,  monitoring for weight loss and electrolyte imbalance,  nutritional support,  rest, Intravenous fluids to prevent dehydration",True,False
D120,Diabetic retinopathy," dark or empty areas in the visual field,  floaters,  impaired color vision,  vision loss, Blurred or distorted vision"," blood pressure control,  cholesterol management,  intravitreal injections of anti-VEGF medications,  laser treatment ,  regular eye examinations,  vitrectomy, Management of blood sugar levels",True,False
D121,Aplastic Anemia," frequent infections,  pale skin,  prolonged bleeding or bruising,  rapid or irregular heartbeats,  shortness of breath, Fatigue"," bone marrow-stimulating medications,  immunosuppressive therapy,  stem cell transplant (in severe cases),  supportive care, Blood transfusions",True,True
D122,Wilson Disease," abdominal pain or swelling,  difficulty speaking or walking),  jaundice,  neurological symptoms (tremors, Fatigue"," dietary changes,  liver transplant (in severe cases), Medications to remove copper from the body (chelators)",True,True
D123,Drug Abuse (Barbiturates)," confusion,  drowsiness,  respiratory depression,  slurred speech, Sedation"," counseling,  rehabilitation programs,  supportive care, Medical detoxification",False,False
